time,RF_GRF_x,RF_GRF_y,RF_GRF_z,RF_ThC1_theta,RF_ThC1_vel,RF_ThC3_theta,RF_ThC3_vel,RF_CTr_theta,RF_CTr_vel,RF_TrF_theta,RF_TrF_vel,RF_FTi_theta,RF_FTi_vel
0.02,0.0,0.0,0.0,-0.34447350703773894,3.6048574791111565,0.6033381149065566,-2.39095994426608,0.8605833935862341,23.416543579393934,0.1897516750287926,-4.2101798133339505,0.03776625836596241,-31.074590806840483
0.022,0.0,0.0,0.0,-0.3380044241795934,3.234541429072757,0.5984684188807505,-2.434848012903057,0.9007905676835398,20.103587048652837,0.18385097012743173,-2.950352450680427,-0.016101418720848235,-26.933838543405322
0.024,0.0,0.0,0.0,-0.3321660921320418,2.9191660237758152,0.5937571531767245,-2.355632852013012,0.9331470904843229,16.178261400391523,0.1802039023348306,-1.8235338963005636,-0.05960595365601504,-21.7522674675834
0.026000000000000002,0.0,0.0,0.0,-0.3268055553681908,2.6802683819255044,0.5894839598481197,-2.1365966643023815,0.9567239867537702,11.788448134723684,0.17850834929520315,-0.8477765198137283,-0.09112423729558777,-15.759141819786368
0.028,0.0,0.0,0.0,-0.32177670344787346,2.5144259601586616,0.5858954745957478,-1.7942426261859934,0.9711189262201247,7.197469733177253,0.17846171008475462,-0.023319605224267348,-0.1098361885432346,-9.355975623823412
0.03,0.0,0.0,0.0,-0.31698168469074445,2.397509378564505,0.5831224882523056,-1.3864931717210704,0.9766748613647107,2.777967572292983,0.1797883938126811,0.663341863963246,-0.11604991330354016,-3.106862380152779
0.032,0.0,0.0,0.0,-0.3123833603668205,2.299162161961965,0.5811242217571595,-0.9991332475730585,0.9746021198245314,-1.0363707700896674,0.18224017217161537,1.2258891794671294,-0.11138363836841757,2.3331374675612944
0.034,0.0,0.0,0.0,-0.3079785546761204,2.20240284535006,0.5796944716611196,-0.7148750480199251,0.9669516944085039,-3.8252127080137255,0.1855592028099472,1.6595153191659162,-0.09872298590700632,6.330326230705626
0.036000000000000004,0.0,0.0,0.0,-0.30374360927572247,2.1174727001989635,0.5785219092756257,-0.5862811927469513,0.9564685385992109,-5.241577904646522,0.1894131577575061,1.9269774737794565,-0.08199085089976857,8.366067503618874
0.038,0.0,0.0,0.0,-0.2996072279985183,2.0681906386020854,0.5773191422583178,-0.6013835086539632,0.9458194093813009,-5.324564608954973,0.19342765782523413,2.0072500338640107,-0.06501212371209503,8.48936359383677
0.04,0.0,0.0,0.0,-0.29554197700808404,2.032625495217127,0.5760349712292393,-0.642085514539259,0.9355521949301097,-5.133607225595638,0.1975111128950546,2.041727534910234,-0.04857533844425971,8.21839263391766
