time,LF_GRF_x,LF_GRF_y,LF_GRF_z,LF_ThC1_pos,LF_ThC1_acc,LF_ThC3_pos,LF_ThC3_acc,LF_CTr_pos,LF_CTr_acc,LF_TrF_pos,LF_TrF_acc,LF_FTi_pos,LF_FTi_acc
0.088,0.0,0.0,0.0,0.3093254189950504,0.264185048552882,-0.5462218395480275,-0.5318765317562254,0.3243056576199784,0.3668184654102725,-0.45793227192608216,-0.38741199117741765,0.7195083285121896,0.4594215251989976
0.09,0.0,0.0,0.0,0.33224734214734575,0.28393623598847534,-0.5615846942115266,-0.5502394874552333,0.28939105097115897,0.3182993212247405,-0.4605101589557306,-0.39313099794698214,0.7440198750839169,0.53056952673352
0.092,0.0,0.0,0.0,0.3538362499989273,0.3031183517568268,-0.576389051243124,-0.5680649211461901,0.2622449479675208,0.275822005565676,-0.4588245061489702,-0.3965542735835525,0.7605648368993054,0.5966269429515861
0.094,0.0,0.0,0.0,0.3731833346846584,0.32104252055663285,-0.5900360490815044,-0.5849070860141765,0.245154624911333,0.24149928490141204,-0.45233188221051907,-0.3970125522386837,0.7679898977525946,0.6563963425480785
0.096,0.0,0.0,0.0,0.389332706875847,0.3369245330476597,-0.6019343112561745,-0.6003059216398895,0.24027696785102462,0.21774539035202412,-0.44074082659027525,-0.3937857641762296,0.7651721125088045,0.7085172650717966
0.098,0.0,0.0,0.0,0.4013239215714647,0.34987707152910835,-0.6115347561645798,-0.6138214610932956,0.2495129688560637,0.207254948436087,-0.42403694862428554,-0.3860989632410185,0.7509085030360246,0.7513189198602124
0.1,0.0,0.0,0.0,0.40860576321433895,0.3592426872642795,-0.6185661090064203,-0.6252506221614583,0.2732776706425796,0.21172404358353664,-0.4028376513837097,-0.3734687551378352,0.7246604666934431,0.7835403457188681
0.10200000000000001,0.0,0.0,0.0,0.4116083696080343,0.3651453566486221,-0.6233122492885065,-0.6348660384715664,0.3089888291893247,0.22992327248505426,-0.37872374553992255,-0.3562564780475776,0.6877363474072448,0.8055419682994314
0.10400000000000001,0.0,0.0,0.0,0.4109484598416867,0.367827097695416,-0.6261182121850365,-0.6429913878932967,0.35394370264693453,0.26011644950173246,-0.353168800318269,-0.33500245097674153,0.6414263688681748,0.8175695491864124
0.106,0.0,0.0,0.0,0.4073140993612192,0.36758334079376137,-0.6273164671938511,-0.6499380217825421,0.405707967806314,0.3002722591468926,-0.327414344406624,-0.3104145020044214,0.5869664392582965,0.8198225859811165
0.108,0.0,0.0,0.0,0.40141906051651144,0.3647629250825068,-0.6272055772470105,-0.6559806024169667,0.4621666876442462,0.3481082549486472,-0.302461764646235,-0.2833978297833242,0.5256393685650369,0.8126491884044358
0.11,0.0,0.0,0.0,0.3939596103198843,0.3597648026261106,-0.6260372938617819,-0.6613393932632411,0.521507004495414,0.401196967590359,-0.27908207395626927,-0.25503408416906226,0.45883585321920894,0.7966774321076571
0.112,0.0,0.0,0.0,0.3855773749741067,0.35302875219573915,-0.6240110465029932,-0.666169452131303,0.5821595821031542,0.45710556236291255,-0.2578365460739857,-0.22650725836677696,0.3880870364422328,0.7728782624565675
0.114,0.0,0.0,0.0,0.3768297751041485,0.34501773198563357,-0.6212758548537224,-0.6705551468817352,0.6427216963114943,0.5135306960520247,-0.23910283716857494,-0.19899695426161687,0.31508015800654127,0.742562095714773
0.116,0.0,0.0,0.0,0.36816823804966103,0.33619107998501013,-0.6179402364421958,-0.6745084249104034,0.7018791243836653,0.5683975165722498,-0.2231014728816469,-0.1735728612191813,0.24166493736151445,0.7073160316187876
0.11800000000000001,0.0,0.0,0.0,0.35992403651932675,0.3269664299508535,-0.6140904885389324,-0.677966177195442,0.7583395752536899,0.619905010063802,-0.20991867084830484,-0.15113023614297136,0.16985205692725885,0.6688711750623976
0.12,0.0,0.0,0.0,0.352302055676635,0.3177073793653534,-0.6098164126321155,-0.6808186111801822,0.810788796738979,0.6665635930318409,-0.19952385732118177,-0.13231847818082687,0.10179720109807637,0.6290635910476168
0.122,0.0,0.0,0.0,0.34538376637117163,0.30870696294382716,-0.6052406015531749,-0.6829353884854381,0.8578818805555601,0.7072166983913128,-0.1917834491082524,-0.11751733587819897,0.039755081509794156,0.5897184640269711
0.124,0.0,0.0,0.0,0.33914165822300496,0.3001732475429254,-0.6005426350989868,-0.6841878180052055,0.8982851320629625,0.7410433747226586,-0.18647560404979105,-0.10686225215343566,-0.014020604634705204,0.5524895570830393
0.126,0.0,0.0,0.0,0.3334673997061104,0.2922304040214946,-0.5959643729307298,-0.6844743016740815,0.930783915659968,0.7675658167844642,-0.18331219264178047,-0.10028140037991483,-0.05745804246003568,0.5187252235958909
0.128,0.0,0.0,0.0,0.3282134833949775,0.28493101405332977,-0.5917817854858145,-0.6837439012716531,0.9544616804067457,0.7866683148848346,-0.18197194952130455,-0.09753032132424948,-0.08894231006141148,0.48936383316041693
0.13,0.0,0.0,0.0,0.32324166786341685,0.2782727063707916,-0.5882397718431518,-0.6820133426299305,0.9689280546946931,0.7986238289376048,-0.18214085863049528,-0.09821809746943241,-0.10765781331866178,0.46486090069549074
0.132,0.0,0.0,0.0,0.31846266264848605,0.2722124020475633,-0.5854708727231254,-0.679374241507059,0.9745349006945117,0.8041189838428419,-0.18354454944567616,-0.10182452769630529,-0.11391183034586423,0.4451511486727364
0.134,0.0,0.0,0.0,0.31384761100517405,0.2666736992156578,-0.5834405264622536,-0.67598937901106,0.9724974348270491,0.8042685879543918,-0.18595168934362097,-0.10771021303750679,-0.10931615978836515,0.4296468834355934
0.136,0.0,0.0,0.0,0.3094018120382596,0.2615461637703904,-0.5819529675750411,-0.6720791825207582,0.9648689705807173,0.8006158585176317,-0.1891366806322317,-0.1151218706084748,-0.09674578742349464,0.4172676855950905
0.138,0.0,0.0,0.0,0.30511190499171065,0.25667835480183526,-0.5807102903629776,-0.6679017860803353,0.954397455329499,0.7951219824602516,-0.19281151974633742,-0.12319482078097323,-0.08011122186451981,0.40648687721531795
0.14,0.0,0.0,0.0,0.30091764238338226,0.2529302388107113,-0.5794375124979907,-0.6645525130370619,0.9437548371344476,0.790765421333497,-0.19664469994172307,-0.12948266948260978,-0.06322736745699234,0.39791242817930145
0.14200000000000002,0.0,0.0,0.0,0.2967942798863669,0.24917538957425361,-0.578085823572685,-0.6611612712715041,0.9334907502786921,0.7866562605097622,-0.20055333808215142,-0.13566817110644971,-0.04688115429626055,0.38905301691418626
0.14400000000000002,0.0,0.0,0.0,0.2944937132843597,0.24704421579817776,-0.577279341076979,-0.6592146086093504,0.9278786124777263,0.7844680034278229,-0.20280735102257677,-0.1391154876423665,-0.0379098187337788,0.3838713686069821
0.146,0.0,0.0,0.0,0.29220072538681446,0.24491233052747138,-0.5764641789283644,-0.657261789512512,0.9223123115742634,0.7823127716713552,-0.20506977791208922,-0.14254925472649563,-0.029004268843139867,0.37865178015808243
0.148,0.0,0.0,0.0,0.2899323682787704,0.2427781328992158,-0.5756208079077976,-0.6552889620029476,0.9168949805876846,0.7802648722226707,-0.20735955013613497,-0.14593898609231495,-0.020312522385989656,0.37330888624867187
0.15,0.0,0.0,0.0,0.28767753808134183,0.24064270733657028,-0.574761567373913,-0.653303239770293,0.9115653065954136,0.7782830751171556,-0.20966468559022458,-0.14930172878850653,-0.011747233446276845,0.3678900977219496
0.152,0.0,0.0,0.0,0.28543792565835574,0.2385059003477361,-0.5738844736375462,-0.651303010974162,0.9063342467217389,0.7763756431477056,-0.2119871046781136,-0.15263410923136697,-0.003324209213680979,0.3623859277507515
0.154,0.0,0.0,0.0,0.2832163653994413,0.23636755297462397,-0.57298552607963,-0.6492825445629529,0.9012291674752225,0.7745674586285944,-0.21433052368949845,-0.15592618362159513,0.004916140646656558,0.3567678188720515
0.156,0.0,0.0,0.0,0.2810023268755568,0.23422856377472945,-0.5720774727627349,-0.647253645812128,0.8961765801566891,0.7728006272137912,-0.21668269266900647,-0.15920146382322642,0.013080376185219499,0.35110223544855923
0.158,0.0,0.0,0.0,0.27880962069251297,0.23208793495551244,-0.5711425561908517,-0.6451965374563765,0.8912852419972276,0.7711662766545814,-0.21906031310254956,-0.16242325217146047,0.02100962015210801,0.34528449670849737
0.16,0.0,0.0,0.0,0.27662177594097975,0.22994697626334695,-0.5702012977854872,-0.6431321404188983,0.8864330577672547,0.7695650802127458,-0.22144384801802905,-0.1656317165464173,0.028881595204724185,0.33942865322942695
