time,LH_GRF_x,LH_GRF_y,LH_GRF_z,LH_CTr_theta,LH_CTr_vel,LH_TrF_theta,LH_TrF_vel,LH_FTi_theta,LH_FTi_vel
0.05,9.439827043717504,4.536687513015225,13.976514556732727,0.21793718190125955,6.553099718747429,-0.206619266510047,-5.152523027874875,-0.3281223408019186,-8.041601330572885
0.052000000000000005,9.451715934017523,4.56569609979248,14.017412033810004,0.231380291389678,6.721554744209226,-0.21739097603866567,-5.385854764309333,-0.3446735177510287,-8.275588474555063
0.054,9.39389392763402,4.586978380109055,13.980872307743073,0.24518779978069846,6.903754195510231,-0.2286881648507069,-5.648594406020613,-0.3617277014297948,-8.527091839383049
0.056,9.254385117296437,4.597868951233373,13.85225406852981,0.25939286614539475,7.102533182348145,-0.24058455175913698,-5.948193454215045,-0.3793268001617892,-8.799549365997194
0.058,9.018443034963777,4.594803260839286,13.613246295803062,0.27403049483846037,7.318814346532809,-0.25315871485669483,-6.287081548778925,-0.3975149587796533,-9.094079308932052
0.06,8.500327015954783,4.562644081246987,13.06297109720177,0.2954988960177415,10.734200589640558,-0.2726324277644672,-9.736856453886194,-0.42424753881896693,-13.366290019656807
0.062,7.909421613644044,4.520413653487991,12.429835267132034,0.3144518864197284,9.476495200993446,-0.29278249143547386,-10.075031835503317,-0.4477171019366601,-11.73478155884658
0.064,7.517293640824687,4.5173579462203985,12.034651587045087,0.3274822641458986,6.5151888630851085,-0.3119195933952679,-9.568550979897033,-0.46337893178739553,-7.830914925367721
0.066,0.0,0.0,0.0,0.33148528131051513,2.00150858230827,-0.32768395432733594,-7.882180466034005,-0.4670968099375283,-1.8589390750663737
0.068,0.0,0.0,0.0,0.32411911525936044,-3.6830830255773495,-0.33776335555054865,-5.0397006116063565,-0.4558622161627599,5.617296887384188
0.07,0.0,0.0,0.0,0.30436079413045297,-9.879160564453732,-0.3410656626789067,-1.6511535641790254,-0.42859118075219593,13.635517705281986
0.07200000000000001,0.0,0.0,0.0,0.27272036460884574,-15.820214760803614,-0.3383886395765945,1.3385115511561074,-0.3863825207682879,21.104329991954025
