time,LH_GRF_x,LH_GRF_y,LH_GRF_z,LH_CTr_pos,LH_CTr_acc,LH_TrF_pos,LH_TrF_acc,LH_FTi_pos,LH_FTi_acc,cluster labels
0.14,-15.995907976007832,-6.334452524141586,22.330360500149418,-0.2567416980228245,-0.176460898576714,0.1645218380001991,0.0864277097911881,0.2221591803381651,0.1415668480696101,1.0
0.142,-15.309142652702263,-5.925836240233289,21.234978892935555,-0.2476940661424446,-0.1701158829516842,0.1561879668000753,0.0816726842148859,0.2136402516867426,0.1345029083877874,1.0
0.144,-14.9198208383755,-5.69737178548053,20.61719262385603,-0.2424835319307592,-0.1664991799878108,0.1514750505702055,0.0789750270650528,0.2086815912223629,0.1304780074626951,1.0
0.146,-14.532416359844454,-5.475051347721819,20.007467707566278,-0.2372531775123111,-0.1628774402278462,0.1467640155239535,0.0762765134636363,0.203691733030082,0.1264478656400195,1.0
0.148,-14.144922759865349,-5.254663457934899,19.399586217800245,-0.2319584074218839,-0.1592393308805856,0.1420590943244589,0.0735752163945735,0.1986004822221218,0.1224006909001978,1.0
0.15,-13.758585463662447,-5.0385462877168425,18.79713175137929,-0.2266236236175023,-0.1555910434231814,0.1373571303507046,0.0708719656951092,0.193446156954315,0.1183429007434165,1.0
0.152,-13.373276369851618,-4.826242441803386,18.199518811655004,-0.221243824384922,-0.1519313055918656,0.1326584932559081,0.0681665171614432,0.1882208729191808,0.1142731682425557,1.0
0.154,-12.988334744236557,-4.616357698205815,17.60469244244237,-0.2158033700495368,-0.1482561366176392,0.1279630109162751,0.065457766432031,0.1828998679749568,0.1101873034443452,1.0
0.156,-12.60557192920559,-4.412124878253048,17.017696807458638,-0.2103376427546498,-0.1445745380005336,0.1232688430579605,0.0627476397877245,0.1775389793186123,0.1060947168555724,1.0
0.158,-12.222362322602622,-4.208484710502093,16.430847033104715,-0.2047900907856208,-0.1408721359132688,0.118577066526894,0.0600325995175255,0.1720488542141029,0.1019803295132756,1.0
0.16,-11.841762328191152,-4.010925963043569,15.852688291234722,-0.1992218833858116,-0.1371644881481214,0.1138855255903997,0.0573162321030375,0.1665260923088695,0.0978604350471607,1.0
0.162,-11.461378896761245,-3.814886714771873,15.276265611533118,-0.1935811495056525,-0.1334384282316521,0.109194386624795,0.0545951044894193,0.1608887192976392,0.0937211992230053,1.0
0.164,-11.083041072684049,-3.6235263107802833,14.706567383464332,-0.1879036355444024,-0.129703052956477,0.1045025474139803,0.0518713590235937,0.1551932107059512,0.0895721541100864,1.0
0.166,-10.706107016232504,-3.435480924796754,14.141587941029258,-0.182173578610165,-0.1259543700260076,0.0998097078528654,0.0491438737689004,0.1494146512850377,0.0854090957275052,1.0
0.168,-10.33038471010107,-3.25028225201152,13.58066696211259,-0.1763848252442039,-0.1221908692062478,0.0951142551735315,0.0464118888808239,0.1435433209256836,0.0812303954908312,1.0
0.17,-9.957280394530835,-3.0701396957364646,13.0274200902673,-0.1705640556427572,-0.1184192859014203,0.0904173771569871,0.0436774496472656,0.1376213882362706,0.0770431633337429,1.0
0.172,-9.584534149831104,-2.8910450853279714,12.475579235159074,-0.1646618924463101,-0.1146272406485926,0.0857147284263239,0.0409363306665358,0.1315708573117374,0.0728342780384817,1.0
0.174,-9.215117021760417,-2.717816336182385,11.9329333579428,-0.1587378257426126,-0.1108297032462763,0.081010225313278,0.0381933554002338,0.1254857310743677,0.0686195735892992,1.0
0.176,-8.846240748585018,-2.545616767260906,11.391857515845924,-0.152730876329537,-0.1070114366707964,0.0762975850464803,0.0354431377393109,0.1192697382258453,0.0643828786238792,1.0
0.178,-8.480358535133673,-2.378324330196721,10.858682865330394,-0.1466901196128819,-0.1031847667332832,0.0715806731807668,0.0326897901019571,0.1130004151692596,0.060137246629011,1.0
0.18,-8.116265734535405,-2.213746337841722,10.330012072377126,-0.1405873828396646,-0.0993426906320429,0.0668559300503744,0.02993070417448,0.1066333200645585,0.0558752300801548,1.0
0.182,-7.754294515329738,-2.052271244160547,9.806565759490285,-0.1344271048546554,-0.0954864144002113,0.0621222437899398,0.0271659991789707,0.1001755641890794,0.0515980735381867,1.0
0.184,-7.395379651542625,-1.895125845078792,9.290505496621416,-0.1282265480213917,-0.0916201980769657,0.0573822973384755,0.0243973608358388,0.0936543457740555,0.0473103190010401,1.0
0.186,-7.037702578008356,-1.7393218327230144,8.777024410731372,-0.1219435998971381,-0.087733816960434,0.0526270767363783,0.0216202714575365,0.0870035045593131,0.0430010105418995,1.0
0.188,-6.684089096516487,-1.5889745647243456,8.273063661240833,-0.1156369680572664,-0.0838416532264048,0.0478672794893409,0.0188407241714738,0.0803154192339805,0.0386855171292407,1.0
0.19,-6.302277960066251,-1.4232828091268237,7.725560769193074,-0.1086808823739405,-0.079612023099962,0.0425145881673813,0.0157368269493436,0.0726837539520251,0.033851738971524,1.0
0.192,-5.864047574934882,-1.177212739980033,7.18836803229908,-0.1011950265830294,-0.0751762707522571,0.0365763290626571,0.0123329121204955,0.0640172693898003,0.0285247398639545,1.0
0.194,-5.277912751961223,-0.7026522686675031,6.777030381314949,-0.0932201720229522,-0.070550759604985,0.0301128685057231,0.0086614947384564,0.0544142261452409,0.0227579849558687,1.0
0.196,-4.6667771239988,-0.1944223862427277,6.366003929387719,-0.084797090032128,-0.065751853079841,0.0231845728271337,0.0047550898567532,0.043972884816282,0.0166049393966032,1.0
0.198,-4.037570124567543,0.3391095844909025,5.95993801676142,-0.0759665519489757,-0.0607959145985201,0.0158518083574438,0.0006462125289125,0.0327915060008583,0.0101190683354945,1.0
0.2,-3.3968656323452397,0.8900490866861718,5.562590129148216,-0.0667693291119145,-0.0556993075827175,0.0081749414272078,-0.0036326221915387,0.020968350296905,0.0033538369218791,1.0
0.202,-2.7507878971888444,1.451027171318128,5.176729606464816,-0.0572461928593634,-0.0504783954541283,0.0002143383669805,-0.0080488992510739,0.0086016783023569,-0.0036372896949062,1.0
