time,LM_GRF_x,LM_GRF_y,LM_GRF_z,LM_CTr_pos,LM_CTr_acc,LM_TrF_pos,LM_TrF_acc,LM_FTi_pos,LM_FTi_acc
0.136,11.951686084715538,3.212015631073115,15.163701715788653,0.05252581199231976,0.04963099276570821,-0.17897833985735864,-0.12219166257419688,-0.14220717881975034,-0.18863001588218548
0.138,12.438168135731377,3.193256035307009,15.631424171038386,0.0591870116910936,0.05566827270151022,-0.1884940587636758,-0.12833833807239498,-0.14963068578766728,-0.1982315234820192
0.14,12.915144519805997,3.1799929309289143,16.09513745073491,0.06598311823303385,0.06178738719529679,-0.19813592266437374,-0.13459686147286998,-0.1572143892942978,-0.20793272826627535
0.14200000000000002,13.381653710588925,3.1724712532325428,16.55412496382147,0.07291746735799888,0.06799094919162307,-0.20791252867783327,-0.1409734437335374,-0.16496148251176562,-0.2177369085291412
0.14400000000000002,13.836634451708544,3.1709471911590996,17.007581642867645,0.07999365196473056,0.07428174360176298,-0.21783314697799105,-0.14747477849668417,-0.17287537279617377,-0.2276475413962064
0.146,14.278913659888248,3.175688300539505,17.454601960427752,0.0872155423696081,0.08066274038498054,-0.22790778501706946,-0.15410808676488494,-0.18095969636527595,-0.2376683167732729
0.148,14.707190291673983,3.186973569921336,17.89416386159532,0.09458729437930888,0.08713709950734903,-0.23814721760944993,-0.1608811373247588,-0.1892183231636323,-0.24780314210297527
0.15,15.12002237431538,3.2050930303339262,18.325115404649306,0.10211339196634887,0.09370819877970366,-0.24856311178624851,-0.16780233454348778,-0.1976553895987669,-0.25805617308901585
0.152,15.51581278789184,3.23034725120516,18.746160039097,0.10979869884694678,0.10037966697513703,-0.2591681836152653,-0.17488082772401567,-0.20627533654803742,-0.2684318494578535
0.154,15.892781166361825,3.2630468375831017,19.155828003944926,0.11764844280178337,0.1071553728554385,-0.26997616369962907,-0.1821264853715447,-0.21508289470112985,-0.2789348814720831
0.156,16.248944612595725,3.3035110713401084,19.552455683935833,0.12566827672770933,0.11403946422917523,-0.28100198162775525,-0.18955002369658805,-0.22408312953361012,-0.2895702921343227
0.158,16.58211584820762,3.3520666857079244,19.934182533915546,0.13386448979170446,0.12103650359140991,-0.2922623934456666,-0.19716344483591208,-0.2332815991244705,-0.3003435649731717
0.16,16.889801489661835,3.409044859811479,20.298846349473315,0.14224357681359745,0.12815118741608283,-0.3037747461281101,-0.20497916687455456,-0.2426840206142144,-0.31126033222769106
0.162,17.29647442803693,3.507118714741279,20.803593142778208,0.1543018260779586,0.13769465553635393,-0.32075536644800245,-0.21595223870417693,-0.25620350293955,-0.3259543831762291
0.164,17.71128566296874,3.62096931099663,21.33225497396537,0.1642945195069046,0.14507795558522227,-0.33711967906271,-0.22663828536672043,-0.26735309221938125,-0.3378763460096542
0.166,0.0,0.0,0.0,0.17004509551380637,0.14824944332038384,-0.35157701805811564,-0.2362610839630954,-0.27363758481968525,-0.3443846455494119
0.168,0.0,0.0,0.0,0.16974911582160415,0.14556343531989555,-0.3628361141442198,-0.24402041306740632,-0.2730094743483775,-0.34336245937158183
