time,LH_GRF_z,LH_CTr_theta,LH_CTr_vel,LH_TrF_theta,LH_TrF_vel,LH_FTi_theta,LH_FTi_vel,LH_Tip_linear_acc_z,RH_GRF_z,RH_CTr_theta,RH_CTr_vel,RH_TrF_theta,RH_TrF_vel,RH_FTi_theta,RH_FTi_vel,RH_Tip_linear_acc_z,LM_GRF_z,LM_CTr_theta,LM_CTr_vel,LM_TrF_theta,LM_TrF_vel,LM_FTi_theta,LM_FTi_vel,LM_Tip_linear_acc_z,RM_GRF_z,RM_CTr_theta,RM_CTr_vel,RM_TrF_theta,RM_TrF_vel,RM_FTi_theta,RM_FTi_vel,RM_Tip_linear_acc_z,LF_GRF_z,LF_ThC1_theta,LF_ThC1_vel,LF_ThC3_theta,LF_ThC3_vel,LF_CTr_theta,LF_CTr_vel,LF_TrF_theta,LF_TrF_vel,LF_FTi_theta,LF_FTi_vel,LF_Tip_linear_acc_z,RF_GRF_z,RF_ThC1_theta,RF_ThC1_vel,RF_ThC3_theta,RF_ThC3_vel,RF_CTr_theta,RF_CTr_vel,RF_TrF_theta,RF_TrF_vel,RF_FTi_theta,RF_FTi_vel,RF_Tip_linear_acc_z
4.65,0.0,-0.46962946274823525,1.8730529420084907,0.008895465684076002,3.2285641231124282,0.4030834616783971,-1.6428959858094616,-186.36057487344252,8.253644453519295,0.02628811397249208,1.0309141583918882,0.06825684135373722,0.7238857948332865,-0.10091167337553077,-1.1885272146498564,72.19616506420616,10.855645070352455,-0.0019733121363226403,0.584115989299919,-0.09742941156992602,-0.9267005337776926,-0.08258688689081256,-0.6442944065997713,55.30461538203284,0.0,-0.3588480191405343,3.013009833443608,-0.10130953230286659,-2.7982134266279948,0.256810456081904,-2.4175956570512414,-143.3552469148786,0.0,0.3645783648335548,-0.843208630898068,-0.6163206520690733,0.288873081858787,0.6292169099822834,5.889772319557052,-0.2597421280083992,1.9246119398619865,0.358462173594098,-7.136677509194866,-635.4646584311868,22.607555822098934,-0.20368475741521663,0.31606394249596714,0.4874894822645923,-0.3633223278170006,0.7938534628738094,-0.3486334770060884,0.26205866540350514,0.30836020299159217,0.20542552596678962,0.5350994929144481,-566.4368635218373
4.66,0.0,-0.4476178032142746,2.201165953396067,0.03920082910083021,3.030536341675421,0.38324569450238366,-1.9837767176013432,-196.98808777192318,8.746461036474669,0.03673610334812458,1.0447989375632498,0.07560060803298158,0.7343766679244357,-0.11301096525044518,-1.2099291874914417,79.61024510681682,11.375656052042295,0.003985086409802175,0.5958398546124816,-0.10676040756084955,-0.9330995990923532,-0.08917017612341682,-0.6583289232604261,59.50621146651585,0.0,-0.32723413092746617,3.161388821306815,-0.1271742236869977,-2.5864691384131127,0.2306518714743619,-2.615858460754211,-132.17002603065578,0.0,0.3561648448201409,-0.8413520013413944,-0.6129475525472016,0.3373099521871703,0.687126786842892,5.790987686060856,-0.2429439997345621,1.6798128273837087,0.28612972858235014,-7.233244501174784,-578.7199417406027,22.647478776237662,-0.20053081175111437,0.31539456641022645,0.484564941771739,-0.29245404928533447,0.7906644422855202,-0.3189020588289182,0.2651381246636672,0.3079459260162065,0.21064408084772993,0.5218554880940307,-571.7265848845743
4.67,0.0,-0.423539048309165,2.407875490510958,0.06694263443656637,2.7741805335736154,0.36109595764846736,-2.21497368539163,-204.2957632566381,9.232047191044028,0.04731057350508878,1.0574470156964202,0.08304367203420651,0.7443064001224936,-0.12531221969194592,-1.2301254441500735,87.00423586618422,11.893631452632693,0.010053695049467126,0.6068608639664951,-0.1161433885326255,-0.938298097177595,-0.09588637823023487,-0.6716202106818044,63.72430837154248,0.0,-0.29539835115452434,3.183577977294183,-0.15052028524724265,-2.3346061560244933,0.20360092955505066,-2.7050941919311233,-119.31425503888664,0.0,0.34812976541968577,-0.8035079400455114,-0.6091787077701059,0.37688447770957145,0.7427990099073594,5.567222306446739,-0.2287290442663931,1.4214955468169004,0.21477887340112978,-7.135085518122036,-521.1178106668216,22.704286340754383,-0.19739259172801885,0.31382200230955226,0.4824627233743804,-0.21022183973585795,0.7878120287046482,-0.2852413580872071,0.26821264284160806,0.3074518177940855,0.21573138241194972,0.5087301564219798,-577.1467186610341
4.68,0.0,-0.3986033044565576,2.493574385260738,0.0916249850024763,2.4682350565909936,0.337784334882229,-2.331162276623838,-208.55800157687156,8.769980255952486,0.03726774019485471,-1.004283331023407,0.07596898774122224,-0.7074684292984273,-0.11360279283614244,1.1709426855803478,72.76344098619778,11.404146286554532,0.004272400373629474,-0.5781294675837653,-0.10726091538182349,0.8882473150802012,-0.08948287384561456,0.6403504384620312,56.11328639475587,0.0,-0.2645380574579291,3.0860293696595265,-0.17097223618298654,-2.0451950935743897,0.17676764431850925,-2.683328523654141,-105.67988399716104,0.0,0.34072128469391694,-0.7408480725768829,-0.6051037001433474,0.4075007626758498,0.794968839867345,5.216982995998564,-0.21711907621632753,1.160996805006556,0.14649983707920794,-6.827903632192184,-465.1131095790957,23.204458639154815,-0.20034619682745697,-0.29536050994381224,0.4840240577550682,0.15613343806877844,0.7903346515916737,0.25226228870255385,0.27128143027442897,0.30687874328209075,0.2206885758950802,0.49571934831304787,-583.2607352936888
4.69,0.0,-0.37395922182922875,2.4644082627328867,0.11283664214359677,2.1211657141120472,0.31444790509142595,-2.3336429790803024,-210.02834551777036,9.232047191043112,0.047310573505088764,1.0042833310234054,0.0830436720342065,0.7074684292984259,-0.12531221969194592,-1.1709426855803478,86.76039874626903,11.893631452632702,0.010053695049467131,0.5781294675837657,-0.11614338853262551,-0.8882473150802025,-0.09588637823023488,-0.6403504384620325,63.57015671057898,0.0,-0.23574061748569747,2.879743997223161,-0.18818379008150599,-1.7211553898519443,0.15122474742512618,-2.554289689338307,-91.90376501405652,0.0,0.33407604870942087,-0.6645235984496067,-0.6008380948865626,0.4265605256784766,0.8423486249045722,4.737978503722717,-0.2080356469561005,0.9083429260227038,0.08347970600781168,-6.302013107139626,-413.9132336680793,23.275067689776247,-0.19739259172801885,0.29536050994381224,0.4824627233743804,-0.15613343806877844,0.7878120287046482,-0.25226228870255385,0.2743437052582383,0.3062274983809343,0.22551676904607995,0.4828193150999749,-588.2293780210223
4.7,0.0,-0.35063380205917444,2.332541977005431,0.1302563850430701,1.7419742899473332,0.29213893697125465,-2.23089681201713,-209.19154294859152,9.68878914794843,0.05751585813788486,1.0205284632796094,0.09025115392871678,0.7207481894510287,-0.13726079132602398,-1.1948571634078058,93.81207323796271,12.382688767289501,0.015960823815274642,0.590712876580751,-0.12511148597479826,-0.8968097442172751,-0.1024379084562998,-0.6551530226064917,67.61554356771856,0.0,-0.2099334404730443,2.580717701265317,-0.20185565065257946,-1.3671860571073473,0.1279421980773515,-2.328254934777468,-78.87276512885855,0.0,0.32822897091258507,-0.5847077796835798,-0.5965429030492414,0.42951918373211884,0.8836676292910267,4.131900438645452,-0.20131363470725452,0.6722012248845971,0.02790245330486335,-5.557725270294833,-369.6737741490787,23.349556819326093,-0.19442026329083045,0.2972328437188393,0.4808921345426146,-0.15705888317658068,0.785374332806126,-0.2437695898522163,0.2773986942558013,0.3054988997563013,0.2302170318775378,0.47002628314578576,-593.3940331752987
4.71,0.0,-0.32947192852435053,2.1161873534823905,0.14367033330723258,1.3413948264162479,0.2717516580276291,-2.0387278943625575,-206.53327757651044,10.139053514921839,0.0678905816596798,1.0374723521794942,0.09760267729228593,0.7351523363569146,-0.14945792306739303,-1.219713174136905,100.87569254908584,12.871017879605503,0.02199616031265887,0.6035336497384229,-0.13417088577889358,-0.9059399804095314,-0.1091398526808615,-0.6701944224561703,71.6925347080965,0.0,-0.1878311699489444,2.2102270524099907,-0.21176898663058044,-0.9913335978000981,0.1077168041833595,-2.0225393893992,-67.26345493505657,0.0,0.3231341006113483,-0.5094870301236787,-0.5924269462897194,0.41159567595220325,0.9177729691934405,3.4105339902413823,-0.19672039634800811,0.459323835924641,-0.018228051568766376,-4.6130504873629725,-334.3663421675544,23.427813519257885,-0.19142884916059538,0.29914141302350705,0.47931229794606317,-0.15798365965514205,0.7830208943018174,-0.23534385043085804,0.28044563187139804,0.3046937615596712,0.2347903978185276,0.4573365940989782,-598.4438860097308
4.72,0.0,-0.3110795720441827,1.8392356480167849,0.15300109031065157,0.9330757003418982,0.25395287428052116,-1.7798783747107916,-202.5276663435763,10.581496149368977,0.07844232974913631,1.0551748089456512,0.10511063462830558,0.7507957336019652,-0.1619138045930088,-1.2455881525615775,107.94704658740781,13.358278798058503,0.028162235923023783,0.6166075610364912,-0.14332763300694482,-0.9156747228051237,-0.11599473524950628,-0.6854882568644777,75.79963364804928,0.0,-0.16988393178482677,1.7947238164117612,-0.21783087259726647,-0.6061885966686026,0.09110288792920543,-1.6613916254154064,-57.56065169085856,0.0,0.3186958177364651,-0.44382828748831815,-0.5887212589293946,0.37056873603247276,0.9437934545440432,2.602048535060264,-0.19398325793088436,0.2737138417123752,-0.05334889603730836,-3.512084446854198,-309.2877015683114,23.50972622941544,-0.1884180031458594,0.3010846014735974,0.47772321331839857,-0.15890846276646053,0.7807510701856617,-0.22698241161557275,0.2834837601548362,0.3038128283438135,0.23923786771982003,0.4447469901292439,-603.3750440223548
4.73,0.0,-0.29577627542223933,1.5303296621943352,0.15834410288834852,0.5343012577696954,0.23912308782994451,-1.4829786450576643,-197.5908281826414,11.014548294831538,0.08917936314699784,1.0737033397861528,0.11278873551753536,0.767810088922978,-0.17463949717782232,-1.2725692584813513,115.02099324135276,13.844087037329025,0.034461754110791394,0.6299518187767611,-0.1525881779545758,-0.9260544947630983,-0.12300522848576699,-0.7010493236260712,79.9350230961619,0.0,-0.15623275342421297,1.3651178360613803,-0.22012275574981333,-0.22918831525468586,0.07835210283753283,-1.27507850916726,-50.00706422838921,0.0,0.31480444682586955,-0.38913709105955485,-0.5856252602767849,0.3095998652609788,0.9613422096068073,1.7548755062764099,-0.19282137119525145,0.11618867356329166,-0.07665023892477665,-2.3301342887468297,-294.8533469802499,23.595184279529068,-0.18538739520293593,0.303060794292348,0.47612487375177737,-0.15983395666211986,0.7785642434843532,-0.21868267013085418,0.28651232866619697,0.30285685113607963,0.24356041035882153,0.4322542639001503,-608.1850344705617
4.74,0.0,-0.2835630198907455,1.2213255531493827,0.16000360300743793,0.16595001190894132,0.22731509252951965,-1.1807995300424867,-192.05033564858422,11.436384240584196,0.10011075611421534,1.09313929672175,0.12065231048447252,0.7863574966937154,-0.1876471085131157,-1.3007611335293379,122.09116328487241,14.328009573614963,0.04089761631875853,0.6435862207967137,-0.1619594444159789,-0.9371266461403099,-0.13017417397265652,-0.7168945486889524,84.09630309705506,0.0,-0.14667885724886787,0.9553896175345106,-0.21894033531875928,0.11824204310540432,0.06937094564313737,-0.8981157194395462,-44.57775516324128,0.0,0.3113642266356138,-0.34402201902557494,-0.5832436874961936,0.23815727805912568,0.9707024290285415,0.9360219421734262,-0.19296947097249248,-0.014809977724103418,-0.08835672587572174,-1.1706486950945088,-290.4588967258022,23.684077810686343,-0.18233671180397237,0.3050683398963555,0.474517265951026,-0.1607607800751365,0.7764598231365814,-0.2104420347771807,0.2895305947672224,0.30182661010254574,0.24775896232059652,0.4198551961774988,-612.8724291282641
4.75,23.156848656750622,-0.27410978022952964,0.9453239661215862,0.15852062576307047,-0.14829772443674671,0.21823507161254582,-0.9080020916973824,-201.221081822404,11.844865773549737,0.11124645011088397,1.1135693996668625,0.12871845615045804,0.8066145665985527,-0.20094985716852123,-1.3302748655405539,129.14945945270358,14.809556676818822,0.0474729248950289,0.6575308576270367,-0.17144884389563095,-0.948939947965205,-0.13750458394748538,-0.7330409974828866,88.28018874520677,20.84575878932677,-0.140671325132282,0.6007532116585862,-0.21481546660660525,0.4124868712154034,0.06370190150140823,-0.566904414172914,-68.6667576396758,23.32425261816412,0.3083001047448032,-0.30641218908106227,-0.5815463444362602,0.16973430599334094,0.9729301151534359,0.22276861248943236,-0.1941781478849426,-0.12086769124501073,-0.08987788233567126,-0.15211564599495186,-294.7560462254387,23.776297828053327,-0.17926565434880093,0.3071057455171444,0.47290037118821876,-0.16168947628072416,0.7744372408945459,-0.20225822420354422,0.2925378229998809,0.30072282326584765,0.2518344315834983,0.4075469262901754,-617.4366383158216
4.76,22.29738195848108,-0.2667626790284008,0.7347101201128858,0.1546892725387893,-0.3831353224281159,0.21124646292611,-0.6988608686435832,-195.0147881856542,12.237479834688703,0.12259735178613018,1.1350901675246217,0.13700626861534587,0.8287812464887828,-0.21456219399897333,-1.3612336830452099,136.1856947385033,15.288174012775961,0.05419099712115258,0.671807222612368,-0.18106431557361563,-0.9615471677984683,-0.1449996522416659,-0.7495068294180507,92.48222037090466,20.097438465809947,-0.13731272168320263,0.33586034490793726,-0.2085177370098501,0.6297729596755147,0.06052837611823272,-0.31735253831755084,-65.9726783025244,23.127171752366852,0.3055380404768142,-0.2762064267988973,-0.5803718286572089,0.1174515779051255,0.9698413012912052,-0.30888138622306993,-0.1961838157424156,-0.20056678574730258,-0.08377664022149137,0.6101242114179894,-303.9207946226618,23.871736189581835,-0.17617393881165377,0.3091715537147155,0.47127416569149094,-0.16262054967278172,0.7724959503177767,-0.19412905767691724,0.29553328502847453,0.2995462028593632,0.25578769855798233,0.395326697448406,-621.878031786576
4.7700000000000005,21.577476944795993,-0.2605645027803511,0.6198176248049692,0.14956304297544054,-0.5126229563348766,0.20538988360703136,-0.5856579319078625,-188.65526155867,12.611278454813904,0.13417555681107884,1.1578205024948662,0.14553735994224706,0.8531091326901191,-0.22850008141911307,-1.3937887420139738,143.18738943317283,15.763236673894523,0.06105540190041466,0.6864404779262083,-0.19081442498523446,-0.9750109411618829,-0.15266278376858458,-0.7663131526918693,96.69649620659861,19.458705251034438,-0.1353761756228667,0.1936546060335942,-0.20104204661473823,0.7475690395111867,0.05869589356571469,-0.18324825525180277,-63.69845077556457,22.929480786830045,0.30296765398919695,-0.257038648761726,-0.5794661639066424,0.0905664750566526,0.9639143417836299,-0.5926959507575269,-0.19865746238769313,-0.2473646645277522,-0.07360211365995172,1.0174526561539652,-315.41460565124345,23.970285533050998,-0.17306129633325737,0.31126424783964046,0.46963862078695784,-0.16355449045331039,0.7706354270348885,-0.18605232828882157,0.2985162600974345,0.29829750689599477,0.2596196154301867,0.3831916872204355,-626.1983240285896
4.78,20.54262340865848,-0.25146717893548,0.9097323844871108,0.14152559339246443,-0.8037449582976114,0.19674272151078973,-0.864716209624164,-177.81286375278097,12.962783991317128,0.1459944775887319,1.1818920777653064,0.15433619790024894,0.8798837958001876,-0.24278114704624512,-1.428106562713205,150.12766716403954,16.2340380570318,0.06806997038034594,0.7014568479931281,-0.20070840021335043,-0.989397522811597,-0.16049760156439463,-0.7834817795810051,100.89748753118225,18.53703722278228,-0.1327031659900109,0.26730096328557995,-0.1895343235479985,1.1507723066739721,0.05613996906604713,-0.25559244996675584,-59.68897782770431,22.65243177507311,0.29919209543735753,-0.37755585518394197,-0.5781250861678319,0.13410777388105366,0.9545201529041988,-0.9394188879431109,-0.20255108808133762,-0.3893625693644487,-0.05761706050131666,1.5985053158635054,-333.5172922547269,24.071839334460343,-0.16992747195575725,0.3133824377500122,0.46799370363559245,-0.16449171513653882,0.7688551663110706,-0.17802607238178725,0.30148603458709866,0.29697744896641787,0.2633310089237226,0.3711393493535886,-630.4829014359093
4.79,19.518191095778246,-0.24221588301186897,0.9251295923611014,0.13348260825406394,-0.8042985138400488,0.18785790536054658,-0.8884816150243141,-167.96716304866143,13.287869586589085,0.1580689819566073,1.2074504367875383,0.16343046776405032,0.909426986380138,-0.257424851381961,-1.464370433571585,157.00063399064345,16.699777263837532,0.0752388097546314,0.716883937428546,-0.2107561745488804,-1.0047774335529973,-0.16850795668043747,-0.8010355116042839,105.0949820964191,17.624880669044572,-0.12982399725519483,0.28791687348160566,-0.1780472821775769,1.1487041370421613,0.053350617614205405,-0.2789351451841726,-55.669724110725056,22.40039886128957,0.29544564494128983,-0.3746450496067699,-0.5767165208111984,0.14085653566334733,0.9454581558241731,-0.9061997080025641,-0.20651541155619943,-0.39643234748618084,-0.04210970626270816,1.5507354238608502,-348.9109599382072,24.17629193870587,-0.1667722239686428,0.31552479871144457,0.4663393776661813,-0.16543259694111745,0.7671546816974224,-0.17004846136482454,0.3044419018292652,0.29558672421665655,0.26692268177408895,0.35916728503663786,-634.6515906374577
