time,LF_Torque_Troch_CS_x,LF_Torque_Troch_CS_y,LF_Torque_Troch_CS_z,LF_Torque_Tibia_CS_x,LF_Torque_Tibia_CS_y,LF_Torque_Tibia_CS_z,LF_ThC1_theta,LF_ThC1_vel,LF_ThC3_theta,LF_ThC3_vel,LF_CTr_theta,LF_CTr_vel,LF_TrF_theta,LF_TrF_vel,LF_FTi_theta,LF_FTi_vel
7.9,-0.0755502209803267,0.2364787841690186,0.18569346429304107,-0.05447355658871629,0.12526984984481165,0.01293344536979404,0.3148682025459595,-0.8374472609123995,0.7398691497613304,0.9290100251252764,1.2244512618345762,-1.6082690925083298,-0.24881798384721632,0.09890531233301136,0.5846967918013425,-2.010666629557034
7.91,-0.07082030501544789,0.22736504143756175,0.18481629660863214,-0.051547852249371987,0.11852392477919224,0.014575016519722135,0.3071031139671215,-0.7765088578838009,0.748075979226444,0.820682946511353,1.2092300210232378,-1.5221240811338355,-0.24808724038596935,0.07307434612469632,0.5653575215698838,-1.933927023145865
7.92,-0.06812606317545822,0.22469596260759717,0.1838340772703824,-0.05014557348445794,0.11545870131515043,0.015729501317092186,0.29959193540090295,-0.7511178566218524,0.7558314458639993,0.775546663755533,1.1943677177592935,-1.4862303263944332,-0.24746412595059042,0.06231144353789353,0.5463379996984723,-1.9019521871411538
7.930000000000001,-0.06315883120502365,0.21247860798581847,0.1833807185284627,-0.04670769803026288,0.10739944760362774,0.01746182342886492,0.2927508620592861,-0.6841073341616877,0.7624481701549437,0.6616724290944398,1.1804992937511773,-1.3868424008116165,-0.24713337286251585,0.03307530880745646,0.5282071258381015,-1.8130873860370822
7.94,-0.06112532884913885,0.21081422013084733,0.18256197198293225,-0.04567457535754732,0.10517834343973645,0.01848523540640349,0.2860571811417811,-0.6693680917504996,0.7688217094515671,0.6373539296623432,1.1668564595177582,-1.3642834233419165,-0.2468679557891891,0.026541707332675135,0.5102787272213876,-1.7928398616713914
7.95,-0.057313689107504034,0.20108857475964131,0.18222941285087957,-0.04292128979893732,0.09873728836790163,0.019935315731951644,0.2798558841796228,-0.6201296962158265,0.7743925186257871,0.5570809174219926,1.1539764961166412,-1.2879963401116967,-0.24682216805838836,0.004578773080074483,0.49303602407185226,-1.72427031495353
7.96,-0.05508189687441578,0.19721730085968142,0.18166541990277935,-0.04151166566509941,0.09555259699573583,0.021009589656174145,0.27386422801856003,-0.5991656161062786,0.7796342005122687,0.5241681886481664,1.1414349006271984,-1.254159548944278,-0.24687157640548965,-0.004940834710129294,0.4760995785139097,-1.6936445557942548
7.97,-0.052478765496556154,0.1909935282438089,0.18128599136345713,-0.039630457082666326,0.09119668487823017,0.022160434762235146,0.2681720587162048,-0.5692169302355221,0.7844057005591242,0.4771500046855448,1.1293766878687188,-1.2058212758479625,-0.2470569791495938,-0.01854027441041406,0.4596006438010989,-1.649893471281083
7.98,-0.050047386319887796,0.18474943819728284,0.18098570336408396,-0.037787214642309386,0.08691527096202967,0.023259257059700614,0.26276350021371214,-0.5408558502492666,0.7887467603583872,0.4341059799263025,1.1177945622717789,-1.158212559693994,-0.24737314686008793,-0.03161677104941418,0.4435363227562501,-1.6064321044848784
7.99,-0.048338001671186154,0.18138925311764736,0.18050590580072928,-0.036613301882769275,0.08424996630953825,0.024190979436019548,0.25750963851114445,-0.5253861702567697,0.7928530345680547,0.4106274209667471,1.1064721205811334,-1.1322441690645446,-0.24776064091588576,-0.03874940557978268,0.4277090637121075,-1.5827259044142616
