time,LF_Torque_Troch_CS_x,LF_Torque_Troch_CS_y,LF_Torque_Troch_CS_z,LF_Torque_Tibia_CS_x,LF_Torque_Tibia_CS_y,LF_Torque_Tibia_CS_z,LF_ThC1_theta,LF_ThC1_vel,LF_ThC3_theta,LF_ThC3_vel,LF_CTr_theta,LF_CTr_vel,LF_TrF_theta,LF_TrF_vel,LF_FTi_theta,LF_FTi_vel
6.07,-0.03463838356688737,0.10398431727616314,0.19013797037735292,-0.007104284330558286,0.029466753211456326,-0.004886920511377079,-0.14723612940604283,1.6259454247281147,0.991078091219635,-0.5769753740627936,0.8021757027375412,1.2149740408007426,-0.17678309360538963,0.016763766168478855,0.4435659112355295,0.728977595561392
6.08,-0.035616568761402886,0.10555917089395478,0.18675344296060734,-0.007128253028122271,0.0296351666517655,-0.005661339688056705,-0.12875921780793217,1.8476911598110657,0.9842312516019904,-0.684683961764454,0.8151487027588327,1.2973000021291425,-0.1766429043584168,0.01401892469728161,0.45088690417202754,0.7320992936498016
6.09,-0.036663028880553845,0.10741241206921454,0.1839675127440396,-0.007185321174433292,0.029924845705439677,-0.006241167457900111,-0.10846586006601734,2.0293357741914835,0.9764751580790223,-0.7756093522968133,0.8288463902233599,1.3697687464527264,-0.1765271137022991,0.011579065611772021,0.4582356455359783,0.734874136395075
6.1000000000000005,-0.03770154452481181,0.10910843791095409,0.18168813498922246,-0.007220585411632831,0.030125434040867243,-0.006636501969292554,-0.08675706738732372,2.170879267869362,0.9679776426224239,-0.8497515456598381,0.8431701929610748,1.432380273771483,-0.17645457194576972,0.007254175652937622,0.46563236394687624,0.7396718410897951
6.11,-0.03886836291694113,0.11151166806570122,0.18015929244796045,-0.007350862869732624,0.030681932092693622,-0.006803416354530602,-0.0640338509788768,2.272321640844692,0.9589065372038884,-0.9071105418535508,0.8580215388019289,1.4851345840854124,-0.17639533754295988,0.005923440280983239,0.47304384452606574,0.74114805791895
6.12,-0.02281357355659354,0.0516580282194575,0.26103268538451035,-0.003710595245802601,0.004561616342752778,0.01871997089756796,-0.01714819180082451,4.688565917805229,0.9397148843677787,-1.9191652836109685,0.888912571112862,3.0891032310933153,-0.2112887449649575,-3.489340742199762,0.2921742537935457,-18.086959073252
6.13,-0.03685802590691802,0.139474752093019,0.18149274853249725,-0.01105409485047501,0.0443582432368529,-0.012470663861675096,0.006212228554730109,2.336042035555462,0.9299300008935913,-0.9784883474187378,0.9047551132428444,1.5842542129982373,-0.21050217659881995,0.07865683661375522,0.3054610497083511,1.328679591480536
6.140000000000001,-0.0380919303700635,0.14075635770580935,0.18214124716304178,-0.011053262601040056,0.044404315942311604,-0.01179177057424288,0.028983027811936457,2.277079925720635,0.9202428553442396,-0.9687145549351794,0.9207309097957733,1.5975796552928911,-0.2097814549505142,0.07207216483057499,0.3189494562740611,1.3488406565710043
6.15,-0.039233031654776165,0.1417149897867349,0.18340094815469518,-0.011033473003609837,0.04437053969669294,-0.010925026238568948,0.050763194763769184,2.1780166951832727,0.9108212796914168,-0.9421575652822756,0.9367413886016004,1.6010478805827066,-0.2091306791384351,0.06507758120790907,0.33264442702346564,1.3694970749404511
6.16,-0.041166679480871216,0.14493501899115047,0.18001292693945273,-0.011598954443009199,0.04540196241568931,-0.013810744548463509,0.07115171820320285,2.038852343943366,0.9018331059068161,-0.8988173784600706,0.9526879774902771,1.5946588888676727,-0.20855408953358867,0.05765896048464392,0.3465511261771733,1.390669915370768
