time,RM_GRF_x,RM_GRF_y,RM_GRF_z,RM_CTr_theta,RM_CTr_vel,RM_TrF_theta,RM_TrF_vel,RM_FTi_theta,RM_FTi_vel
0.032,11.464633448813665,-3.2453343416958313,14.709967790509495,0.04593225874036444,3.2013598309952562,0.16972698387383756,4.646836292257609,-0.1350502251795036,-3.5572906319767115
0.034,11.959750618699745,-3.221424760166485,15.18117537886623,0.05246394476209659,3.2658430108660763,0.17913157197805077,4.702294052106606,-0.14231920953293942,-3.6344921767179073
0.036000000000000004,12.446202998975256,-3.2027872980200827,15.648990296995338,0.05912750541273143,3.331780325317418,0.1886545823344461,4.761505178197664,-0.14974542930975882,-3.713109888409699
0.038,12.923117796230056,-3.189655969534434,16.11277376576449,0.06592606065067337,3.3992776189709706,0.19830406298026446,4.82474032290918,-0.15733189535343,-3.793233021835596
0.04,13.389530016730212,-3.1822760981469997,16.571806114877212,0.07286295201060046,3.468445679963544,0.20808863517761217,4.892286098673856,-0.1650818042249576,-3.8749544357638
0.042,13.844374546103571,-3.1809042621948835,17.025278808298456,0.07994177876381275,3.5394133766061473,0.21801759562905085,4.964480225719339,-0.17299856695859725,-3.9583813668198213
0.044,14.28647400125204,-3.1858084034714143,17.472282404723455,0.08716641824493424,3.6123197405607406,0.2281009809881361,5.0416926795426305,-0.1810858237698371,-4.04362840561992
0.046,14.714522529637206,-3.1972678867785147,17.91179041641572,0.0945410339614889,3.687307858277332,0.23834959810140502,5.124308556634455,-0.18934744893585415,-4.130812583008528
0.048,15.127072780568295,-3.215573101565489,18.342645882133784,0.10207011839368038,3.764542216095741,0.2487751493840964,5.212775641345687,-0.19778758358900805,-4.220067326576954
0.05,15.522521622010816,-3.2410249482260616,18.763546570236876,0.10975854473826255,3.844213172291083,0.259390390338567,5.307620477235292,-0.206410673797978,-4.311545104484976
0.052000000000000005,15.899081923239256,-3.273934321265306,19.173016244504563,0.11761155121008564,3.926503235911545,0.2702090949774293,5.409352319431155,-0.21522145589773092,-4.405391049876458
0.054,16.254763179352203,-3.314620733560908,19.56938391291311,0.12563480229100707,4.011625540460716,0.2812462411018101,5.518573062190418,-0.22422500155096725,-4.501772826618164
0.056,16.587369626454727,-3.363411078745885,19.95078070520061,0.13383460054400062,4.0998991264967755,0.2925186405411841,5.636199719686985,-0.23342687586242628,-4.600937155729512
0.058,16.894398127830662,-3.4206365742581633,20.315034702088827,0.14221745477185951,4.191427113929446,0.30404369850776525,5.762528983290577,-0.24283280326992002,-4.702963703746871
0.06,17.2999746389266,-3.519084778861063,20.819059417787663,0.1542813820941709,6.031963661155687,0.3210437705732159,8.500036032725339,-0.2563573474559662,-6.762272093023102
0.062,17.713723675756277,-3.6332961061224927,21.34701978187877,0.16427934488273388,4.998981394281496,0.33742688284445016,8.191556135617118,-0.26751096107960387,-5.576806811818824
0.064,0.0,0.0,0.0,0.1700338962485499,2.8772756829080066,0.35189958236420693,7.236349759878386,-0.27379724841573355,-3.1431436680648406
0.066,0.0,0.0,0.0,0.1697397323695471,-0.14708193950140058,0.3631676376180006,5.634027626896826,-0.27316768912667483,0.3147796445293616
0.068,0.0,0.0,0.0,0.16206188443787461,-3.8389239658362384,0.37015179094776457,3.4920766648819934,-0.26417425170343467,4.496718711620079
0.07,0.0,0.0,0.0,0.14623302540092753,-7.9144295184735425,0.37222924451016487,1.03872678120015,-0.24610420042897838,9.035025637228147
0.07200000000000001,0.0,0.0,0.0,0.1220964765750188,-12.068274412954361,0.36937480715759896,-1.4272186762829542,-0.21902777391541525,13.538213256781562
