time,LF_GRF_x,LF_GRF_y,LF_GRF_z,LF_ThC1_theta,LF_ThC1_vel,LF_ThC3_theta,LF_ThC3_vel,LF_CTr_theta,LF_CTr_vel,LF_TrF_theta,LF_TrF_vel,LF_FTi_theta,LF_FTi_vel
0.074,0.0,0.0,0.0,0.16992217880433472,5.659721931785905,-0.46123400992410246,-2.996014371377059,0.6190872462489798,-16.00985436193303,-0.38466189373184034,-5.2929208675795705,0.44226717997959275,18.18265727599805
0.076,0.0,0.0,0.0,0.18400269341889802,7.040257307281652,-0.4689651923825657,-3.8655912292316073,0.5824682397535359,-18.30950324772196,-0.3961565054565088,-5.7473058623342395,0.48240889195378167,20.07085598709446
0.078,0.0,0.0,0.0,0.20065354138423158,8.325423982666779,-0.47842313941569237,-4.728973516563345,0.5420086697936682,-20.22978497993383,-0.40823996831846876,-6.041731430979969,0.5249761934541365,21.283650750177408
0.08,0.0,0.0,0.0,0.21958927491287544,9.467866764321931,-0.48953404786890964,-5.555454226608636,0.4986880264785503,-21.66032165755896,-0.4204700831663304,-6.115057423930814,0.5684489938521636,21.736400199013573
0.082,0.0,0.0,0.0,0.24043418793266952,10.422456509897037,-0.5021504147201706,-6.308183425630498,0.45370521080804727,-22.491407835251525,-0.43228097099284263,-5.90544391325612,0.6112244793498556,21.387742748845973
0.084,0.0,0.0,0.0,0.2627237908527472,11.144801460038849,-0.516038641670247,-6.944113475038205,0.4084899403201595,-22.60763524394388,-0.4429898540310939,-5.354441519125647,0.651689306734813,20.23241369247869
0.08600000000000001,0.0,0.0,0.0,0.2859034395845123,11.589824365882544,-0.5308703696847099,-7.4158640072314315,0.36471675339275555,-21.886593463701974,-0.45181801850901815,-4.414082238962114,0.6882766755165668,18.29368439087692
0.088,0.0,0.0,0.0,0.3093254189950504,11.710989705269043,-0.5462218395480275,-7.675734931658795,0.3243056576199784,-20.205547886388565,-0.45793227192608216,-3.057126708532004,0.7195083285121896,15.615826497811403
0.09,0.0,0.0,0.0,0.33224734214734575,11.460961576147676,-0.5615846942115266,-7.681427331749535,0.28939105097115897,-17.45730332440973,-0.4605101589557306,-1.2889435148242256,0.7440198750839169,12.255773285863636
0.092,0.0,0.0,0.0,0.3538362499989273,10.794453925790787,-0.576389051243124,-7.4021785157987185,0.2622449479675208,-13.573051501819089,-0.4588245061489702,0.8428264033802091,0.7605648368993054,8.272480907694279
0.094,0.0,0.0,0.0,0.3731833346846584,9.673542342865549,-0.5900360490815044,-6.823498919190207,0.245154624911333,-8.545161528093898,-0.45233188221051907,3.2463119692255624,0.7679898977525946,3.7125304266446
0.096,0.0,0.0,0.0,0.389332706875847,8.07468609559428,-0.6019343112561745,-5.949131087335024,0.24027696785102462,-2.4388285301541885,-0.44074082659027525,5.795527810121909,0.7651721125088045,-1.408892621895086
0.098,0.0,0.0,0.0,0.4013239215714647,5.995607347808851,-0.6115347561645798,-4.800222454202641,0.2495129688560637,4.6180005025195365,-0.42403694862428554,8.351938982994856,0.7509085030360246,-7.131804736389912
0.1,0.0,0.0,0.0,0.40860576321433895,3.6409208214371325,-0.6185661090064203,-3.515676420920266,0.2732776706425796,11.88235089325794,-0.4028376513837097,10.59964862028792,0.7246604666934431,-13.124018171290775
0.10200000000000001,0.0,0.0,0.0,0.4116083696080343,1.5013031968476864,-0.6233122492885065,-2.3730701410430988,0.3089888291893247,17.855579273372555,-0.37872374553992255,12.05695292189357,0.6877363474072448,-18.46205964309916
0.10400000000000001,0.0,0.0,0.0,0.4109484598416867,-0.3299548831738053,-0.6261182121850365,-1.402981448265006,0.35394370264693453,22.47743672880492,-0.353168800318269,12.777472610826761,0.6414263688681748,-23.154989269534966
0.106,0.0,0.0,0.0,0.4073140993612192,-1.8171802402337511,-0.6273164671938511,-0.5991275044073263,0.405707967806314,25.882132579689742,-0.327414344406624,12.877227955822523,0.5869664392582965,-27.229964804939165
0.108,0.0,0.0,0.0,0.40141906051651144,-2.9475194223538836,-0.6272055772470105,0.05544497342030441,0.4621666876442462,28.22935991896608,-0.302461764646235,12.476289880194502,0.5256393685650369,-30.6635353466298
