time,LM_GRF_x,LM_GRF_y,LM_GRF_z,LM_CTr_theta,LM_CTr_vel,LM_TrF_theta,LM_TrF_vel,LM_FTi_theta,LM_FTi_vel
0.10200000000000001,3.188749963787509,3.4820280125648635,6.991273739880333,-0.033697795471926244,4.597175040610129,-0.037972676378833094,-9.483188865139912,-0.03584790807594532,-7.181727932914968
0.10400000000000001,3.986222277205139,3.561246955248173,7.547469232453312,-0.028858031818978735,2.4198818264737545,-0.047651821370521076,-4.839572495843991,-0.04329682407365726,-3.7244579988559705
0.106,4.641087900490782,3.5723063325659252,8.213394233056707,-0.02385812138392364,2.499955217527548,-0.05740767988988329,-4.877929259681106,-0.05083914983127126,-3.771162878807001
0.108,5.290262181024063,3.5799072391850033,8.870169420209066,-0.018699248386348934,2.5794364987873526,-0.06719980901940133,-4.896064564759019,-0.058411348636315336,-3.7860994025220376
0.11,5.930548266645727,3.5816173838643524,9.51216565051008,-0.013382597045842638,2.6583256702531477,-0.07698776584155681,-4.893978411077741,-0.06594988377631754,-3.7692675700011016
0.112,6.558878032926999,3.574949205955288,10.133827238882287,-0.007909351581992734,2.7366227319249523,-0.08673110743883139,-4.87167079863729,-0.0733912185388059,-3.720667381244179
0.114,7.172335857340393,3.5573557585696696,10.729691615910063,-0.0022806962143872202,2.8143276838027567,-0.09638939089370666,-4.829141727437633,-0.08067181621130844,-3.6402988362512696
0.116,7.768196029098883,3.526253429409228,11.294449458508112,0.0035021848373859156,2.891440525886568,-0.10592217328866428,-4.7663911974788125,-0.08772814008135327,-3.5281619350224154
0.11800000000000001,8.343951071871638,3.4789555955079807,11.82290666737962,0.009438107353738671,2.9679612581763775,-0.11528901170618583,-4.683419208760774,-0.09449665343646832,-3.3842566775575262
0.12,7.806844506367656,3.534160928152109,11.341005434519765,0.003760061539890969,-2.839022906923851,-0.10653364766412715,4.377682021029338,-0.0882600814203917,3.118286008038311
0.122,8.343951071871638,3.478955595507981,11.82290666737962,0.009438107353738658,2.8390229069238444,-0.11528901170618581,-4.377682021029332,-0.09449665343646832,-3.118286008038311
0.124,8.876637509561398,3.4276682100674334,12.304305719628832,0.015231292359950483,2.8965925031059125,-0.12411912386977882,-4.415056081796501,-0.1008737536506519,-3.188550107091792
0.126,9.404459451929428,3.3804619612201705,12.784921413149599,0.021141536940122746,2.9551222900861314,-0.1330290788138974,-4.454977472059286,-0.10739336613135618,-3.259806240352138
0.128,9.926928090597096,3.3375091838470707,13.264437274444166,0.027170893270823813,3.0146781653505332,-0.14202427896117076,-4.497600073636685,-0.11405758959421203,-3.332111731427924
