time,RH_GRF_x,RH_GRF_y,RH_GRF_z,RH_CTr_theta,RH_CTr_vel,RH_TrF_theta,RH_TrF_vel,RH_FTi_theta,RH_FTi_vel
0.04,-15.3247092423176,5.929280235043349,21.253989477360946,-0.24799962080205473,4.519779745306401,-0.15571564238130867,4.163085585035447,0.2131462359399138,-4.2530406426944944
0.042,-14.936512502381248,5.701469703093941,20.63798220547519,-0.24279370403343006,2.6029583843123345,-0.15100718123100837,2.3542305751501487,0.20819491002121243,-2.475662959350686
0.044,-14.550218710522266,5.479776948880766,20.02999565940303,-0.2375679780796481,2.612862976890978,-0.1463006244095977,2.353278410705331,0.2032124001194492,-2.4912549508816215
0.046,-14.163835170691751,5.2600107879520035,19.423845958643753,-0.23227787227410465,2.6450529027717273,-0.14160025665707823,2.350183876259737,0.1981285422727346,-2.5419289233572924
0.048,-13.778599165270451,5.0444982802842055,18.82309744555466,-0.22694777670107114,2.6650477865167583,-0.13690289577971534,2.348680438681444,0.1929816395140269,-2.573451379353858
0.05,-13.39438379970096,4.83278448497283,18.227168284673787,-0.22157269263961124,2.6875420307299476,-0.13220891763690348,2.3469890714059303,0.18776381122932687,-2.6089141423500104
0.052000000000000005,-13.010533187786265,4.623481867584585,17.63401505537085,-0.21613699247382312,2.7178500828940604,-0.12751817415230413,2.3453717422996787,0.1824503096976712,-2.656750765827831
0.054,-12.628846497595747,4.4198080709963214,17.04865456859207,-0.2106760355978984,2.7304784379623555,-0.12282877844196015,2.3446978551719884,0.17709694431311757,-2.676682692276819
0.056,-12.246716740715254,4.216728036744492,16.463444777459745,-0.20513331047658231,2.771362560658047,-0.11814188841314231,2.343445014408918,0.17161441085157672,-2.7412667307704224
0.058,-11.867179329533732,4.019704549897668,15.8868838794314,-0.1995699449292629,2.781682773659713,-0.11345526415379822,2.3433121296720443,0.1660992586615324,-2.7575760950221544
0.06,-11.487858407873695,3.824197577919693,15.312055985793387,-0.19393410646550027,2.8179192318813078,-0.10876914932821959,2.343057412789319,0.1604695597609264,-2.8148494503030115
0.062,-11.110570469304008,3.633351521185932,14.743921990489941,-0.188261516967992,2.8362947487541312,-0.10408239200434827,2.343378661935659,0.1547817599555122,-2.8438999027071006
0.064,-10.734678672550425,3.445809323501327,14.180487996051752,-0.18253642599370404,2.862545487143986,-0.09939471682577296,2.343837589287655,0.14901095885751464,-2.8854005489987733
0.066,-10.359992668773051,3.2611048168394365,13.621097485612488,-0.17675268808900674,2.8918689523486503,-0.09470452613590608,2.3450953449334415,0.14314744553761394,-2.9317566599503517
0.068,-9.987909233883693,3.0814374819151498,13.069346715798844,-0.17093696094954053,2.9078635697331046,-0.09001296334897096,2.345781393467555,0.1372333619148568,-2.957041811378569
0.07,-9.616184810934149,2.902817662856799,12.519002473790948,-0.16503991341890248,2.948523765319025,-0.08531577314849004,2.3485951002404635,0.13119076638694732,-3.0212977639547387
0.07200000000000001,-9.247769849341028,2.730041409235463,11.97781125857649,-0.15912098272786676,2.9594653455178586,-0.08061676826548657,2.3495024415017345,0.12511359947588835,-3.0385834555294866
0.074,-8.87989627931541,2.5582942046975368,11.438190484012948,-0.15311924872502056,3.000867001423102,-0.07590978067710986,2.3534937941883523,0.11890565909636047,-3.1039701897639382
0.076,-8.51500031777381,2.391436558350025,10.906436876123834,-0.14708374187329062,3.0177534258649663,-0.0711985881553804,2.355596260864734,0.11264442873480233,-3.1306151807790683
0.078,-8.15188638658641,2.2272859584108518,10.379172344997261,-0.140986318131941,3.0487118706748055,-0.06647968658917117,2.3594507831046148,0.10628550007285585,-3.1794643309732415
